acta,producto,muestra,clasificacion,articulos,rotulado_frontal,marca,fecha_de_analisis,habilitacion_de_producto,vencimiento,lote,contenido_neto
128070,TURRON BLANDO DE MANI SABOR CHOCOLATE,774485,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PRECIO LÍDER,2024-12-11,4463/2848,2026-09-30,250 12:13:39,70g
128070,TURRON DURO LIBRE DE GLUTEN,774481,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,MEMORABLE,2024-12-11,4463/1034,2025-12-31,42651,150 g
128070,Turrón Crocante de Maní Sabor Almendra,774482,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,SKI,2024-12-11,260/5001,2025-07-31,SA 053,115 g
128070,TURRON BLANDO DE MANI CUBIERTO CON COBERTURA SABOR CHOCOLATE,774487,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PORTEZUELO,2024-12-11,12/817,2026-06-30,155 09:28:35,70g
128070,TURRON BLANDO DE MANI SABOR CHOCOLATE CUBIERTO CON COBERTURA SABOR CHOCOLATE,774486,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PORTEZUELO,2024-12-11,12/819,2026-06-30,164 10:50:38,70g
128070,TURRÓN DE MANÍ DURO ¿ SIN GLUTEN,774483,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,EL BELEN,2024-12-11,4817/2649,2026-07-31,19942 8,150 g
128070,TURRON CROCANTE DE MANI SABOR ALMENDRAS,774488,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,BEN-HUR,2024-12-11,260/5101,2025-07-31,BA046,115g
128070,TURRON DE ALICANTE SIN AZUCARES AGREGADOS LIBRE DE GLUTEN,774484,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,EL LOBO,2024-12-11,4463/559,2025-11-30,42141,200g
128066,CREMA HELADA SABOR MENTA Y CHOCOLATE CON SALSA DE CHOCOLATE,774480,Fuera de las condiciones reglamentarias,La muestra no cumple con lo establecido en Decreto 315/994 Cap 28 art. 3.4 su contenido de grasa es menor al límite establecido. Resolución S/N/024  Reglamento Normativo de Empresas Locales y Vehículos. Anexo Reglamentario al Convenio Institucional de RUNAEV art 1 el producto no está registrado.,En condiciones,CRUFI,2024-12-10,No posee registro,2026-10-31,02  09:50,1 L / 500 g
128066,CREMA HELADA SABOR FLAN CON SALSA DE DULCE DE LECHE,774479,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CRUFI,2024-12-10,1712/58,2026-10-31,03  08:46,1 L/ 500 g
128067,CREMA HELADA AMERICANA CON SALSA DE FRUTILLA,774478,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,ARCOR HELADOS,2024-12-10,1409/7369,2025-07-13,EF 13 07 2025,450 g/ 900 cm3
128067,HELADO DE LECHE SABOR DULCE DE LECHE CON GRANAS SIMIL CHOCOLATE,774477,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TA-TA,2024-12-10,18138/70,2025-04-30,21  14:32,1 L
128065,CREMA HELADA SABOR VAINILLA CON SALSA SABOR FRUTILLA,774476,Fuera de las condiciones reglamentarias,Decreto 315/994 capitulo 28 art. 3.4 el porcentaje de grasa es menor al valor mínimo establecido.(6% m/m). Resolución S/N/2024 Reglamento Normativo de Productos Art. 9. El registro del producto está vencido.,En condiciones,OASIS,2024-12-10,372/43,2026-12-02,89,1 L / 500 g
128065,CREMA HELADA SABOR VAINILLA Y DULCE DE LECHE,774475,Fuera de las condiciones reglamentarias,Decreto 315/994 capitulo 28 art. 3.4 el porcentaje de grasa es menor al valor mínimo establecido.(6% m/m). Resolución S/N/2024. Reglamento Normativo de Productos Art. 9. El registro del producto está vencido.,En condiciones,OASIS,2024-12-10,372/28,2026-11-04,87,1 L / 500 g
